"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85"
"1997",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,1,NA,1,5,10,10,6,22,47,32,51,71,116,166,149,169,225,249,266,308,313,374,383,408,485,526,533,540,672,674,731,746,751,683,752,768,750,727,647,628,564,479,461,387,330,296,279,227,183
"1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,5,3,7,10,17,22,39,42,54,73,107,162,177,191,217,245,345,335,352,360,426,448,482,474,497,558,625,641,683,720,718,673,728,705,737,717,699,680,565,538,463,403,333,308,261,226,181
"1999",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,2,1,3,3,6,11,14,23,35,37,53,57,89,111,173,202,259,228,272,367,353,382,429,460,470,547,562,660,631,668,667,734,789,769,795,804,802,807,738,729,670,632,549,484,397,323,312,307,262,188
"2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,1,1,4,8,11,18,23,35,38,55,67,70,128,163,200,245,277,299,372,385,476,495,502,531,539,577,560,667,719,658,723,754,774,723,733,795,797,767,713,719,631,567,465,430,372,332,285,246,219
"2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,2,NA,NA,3,6,8,19,19,26,52,48,64,87,93,128,195,213,271,274,396,346,424,476,543,559,583,563,622,607,660,712,739,680,761,800,762,745,780,815,735,668,693,656,591,511,418,364,318,311,218,212
"2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,1,1,2,4,8,17,16,26,27,65,65,70,96,135,191,227,257,349,368,506,445,484,589,682,568,561,623,718,657,719,724,758,727,758,712,736,756,749,737,729,651,608,519,462,411,366,313,277,240,207
"2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,3,2,1,3,4,8,10,19,29,36,46,80,87,109,140,185,229,268,308,351,420,521,465,519,621,658,651,640,609,630,748,713,694,694,709,654,662,659,690,637,610,594,541,531,440,369,357,337,261,245,217
"2004",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,1,NA,1,NA,1,5,16,16,28,26,40,76,88,108,151,203,236,255,331,398,427,520,575,538,611,615,691,708,646,650,730,694,718,666,699,653,604,674,660,689,600,543,473,494,474,351,346,322,260,257,195
"2005",NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,2,3,1,8,22,16,20,34,41,51,63,88,118,141,200,221,231,305,354,400,490,561,603,569,550,664,680,665,632,685,698,699,702,686,586,630,644,573,614,588,523,508,486,434,365,343,303,266,227,199
"2006",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,2,1,3,5,2,8,13,24,34,49,59,77,79,124,131,206,278,290,345,396,398,559,619,691,801,663,677,775,841,803,845,786,794,762,772,686,713,689,662,651,620,608,542,519,431,376,356,326,262,275,233
"2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,7,13,13,25,28,39,58,84,107,122,180,226,287,317,425,385,500,523,582,672,833,903,717,801,857,928,929,828,839,863,797,750,707,732,714,688,591,582,541,516,436,376,357,319,303,250,220
"2008",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,2,6,12,18,26,25,30,60,91,92,149,182,223,276,302,318,419,496,541,573,659,692,798,925,805,791,801,989,851,769,812,740,690,675,631,664,599,517,548,487,447,345,308,289,273,251,196,180
"2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,3,14,12,22,20,25,43,47,89,126,132,182,285,276,333,392,427,492,570,567,629,738,722,867,911,899,767,993,933,917,801,738,692,737,676,687,614,476,502,446,396,325,276,274,265,231,217,199
"2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,2,4,NA,1,4,4,13,18,12,26,38,42,80,101,132,156,209,261,313,372,405,527,523,546,654,696,786,797,859,1020,818,944,920,988,856,781,699,638,676,661,579,547,482,430,413,343,264,268,218,204,180,150
"2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,3,NA,1,8,17,24,22,30,54,77,84,114,183,208,269,268,354,413,508,531,593,658,680,756,741,883,925,1035,909,873,885,921,879,674,698,643,636,562,503,475,388,357,343,263,287,225,217,145,161
"2012",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,7,8,20,23,28,37,67,82,117,115,183,216,238,276,352,427,431,485,550,561,642,633,707,719,781,1009,805,739,775,712,637,543,561,511,484,400,379,347,270,242,224,180,198,180,153,116
"2013",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,1,2,3,8,11,20,18,29,29,48,59,91,124,176,202,231,277,335,374,392,482,501,607,587,614,714,743,767,935,925,740,700,720,648,603,587,555,454,383,357,322,307,211,199,168,180,174,128,127
"2014",NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,4,1,5,4,14,9,27,33,39,70,71,103,162,194,221,251,322,362,385,438,508,537,595,603,645,667,664,824,783,795,646,583,594,581,576,466,444,398,344,284,302,235,173,168,177,140,124,125
